text,label
"The quiet ritual of watering plants,
One of life's small and unassuming chants.
A finger pressed into the waiting soil,
A brief escape from all the daily toil.
The can is heavy, and the water flows,
A darker shade of brown the vessel shows.
A single drop hangs from a thirsty leaf,
A moment’s respite, beautiful and brief.
It is a simple, meditative art,
To play a silent, life-sustaining part,
A conversation without any words,
Forgetting all the noisy, human herds.",Everyday Life
"They say to just move on, to let it go,
A simple piece of reaping what you sow.
They do not know the roots have grown so deep,
That pull me under, even in my sleep.
It's not a memory, it is a place,
A living, breathing, dark, and endless space.
You do not just ""move on"" from your own skin,
Or the relentless war you cannot win.",Misery
"“Hope” is the thing with feathers -
That perches in the soul -
And sings the tune without the words -
And never stops — at all -

And sweetest — in the Gale — is heard -
And sore must be the storm -
That could abash the little Bird
That kept so many warm -

I’ve heard it in the chillest land -
And on the strangest Sea -
Yet — never — in Extremity,
It asked a crumb — of me.",Hope&Joy
"My mind’s a frantic, busy city street,
With worried thoughts and hurried, anxious feet.
But when you hold me, everything grows still,
Upon a silent, solitary hill.
You are the quiet I have longed to find,
The peaceful center of my restless mind.",Romantic
"I am aware mate
The way you want to let go 
The way it wouldn't leave you 
The way you want to be uncaged 
But the walls are too strong 
Too long .. too numerous 
All Humongous and monstrosity 
Wrapped in whispers

The clouds just seem to get darker 
The darkest yet 
They want to burst open 
But something denies them 
Perhaps the gaps left 
Waiting to be filled
Waiting to provoke 
Waiting to flicker the thunder
They know my mate 
You see your sufferings duplicate 
Right in front of your eyes 
See, You are acknowledged 
Noticed and witnessed

The audacious creppy little thing 
Drives you mad , 
Pushes you to the brink 
Lets you taste the venom 
See the visions and dreads 
You feel yorself hanging 
Just by a mere little thread 
The thread of hope 
The thread of light 
The thread that engulfs the dark 
The thread with everything bright 
You survived then 
And You will now 
Just don't forget 
You are noticed 
You are witnessed",Philosophical & Reflective
"Am I too young to miss the past
Am I too old to enjoy the rain
Too young to notice the change
Too old to be immature

Or maybe too young to think when to blink
in fear I’ll miss the bliss if I stop to think

Or maybe age isn’t real
Just there to control when we do what
When we should be embarrassed to cry,
or when to start to live our lives,
and with a blink of an eye
you’re caught barely alive,
wore out from existence of time",Nostalgia
"A half-drunk glass of water by the bed,
Holds all the thirsty thoughts inside my head
From overnight. The dust has settled on
The surface, waiting for the coming dawn.
It is a sign of life, a small request,
A body putting nature to the test.
It says, ""I was here, and I will be back,""
A silent witness on a lonely track.",Everyday Life
"It's tough 
To go on 
And keep going 
It's tiring 
So far away and blur 
No matter how hard I try to reach 
It gets further away 
Fades in thin air ..
Slips from the fist of time 
And I am left with nothing
But a mere memory 
A memory that penitrates deep through my heart ..
That blends in my soul 
Takes over my mind 
I find myself lost in it 
It's not about miseries;
It's not about happiness
It's about peace 
I get lost in the peacefulness it delivers.. 
and just when I think ..
I have finally found it ..
A jerk on my shoulder wakes me ..
Brings me back to reality 
Where;
It's tough 
It's tiring 
But m still breathing
Ain't I?",Philosophical & Reflective
"Dust floats like memory,
slow and golden.
Boxes breathe with the weight
of forgotten birthdays.
I open one —
a paper crown,
a ribbon,
a whisper of laughter
that still fits my name.",Nostalgia
"A reminder of a boy i once liked—
He used to slip me love letters before class,
Sketched in shaky handwriting,
Decorated with crayons I had once given him.
At the bottom, two ducks floated side by side.
Back then, I thought it was the sweetest thing.
Now I roll my eyes and smile—
How silly it seems.

He picked wildflowers,
From the schoolyard fence,
Told me they were as pretty as me,
And tucked them into my hair
My cheeks burned hotter
Than the blazing afternoon sun.

At night, I would stay up too late,
Texting him on my old flip phone,
Pretending to snore
Whenever my parent peeked in.
I swear my heart was pounding louder
Than the phone's plastic keypad.

Back then,
I swore he was the only boy
Who could ever exist in my world—
A match made in heaven, I thought.
Though low-key,
I was too shy to say it out loud.",Nostalgia
"Close to the door he passed to stand

to take the ring off her hand

all who were watching didn't dare speak

as a silent tear ran down his cheek

all watched in silence as he bent near

to whisper i love you in her ear.

through his mind the memories ran

of the days they had walked hand in hand

how her eyes were terribly cold

he never again would have her to hold

he took the ring and wanted to cry

touched her face and wanted to die

and just as the wind began to blow

they lowered her casket

into the snow",Nostalgia
"We wait in line, a study in restraint,
A silent, shared, and unspoken complaint.
The slow advance, a shuffle of the feet,
A mutual and organized retreat
From conversation, and from making eyes.
We check our phones, a digital disguise.
Each person lost within their own small screen,
A private act within a public scene.
We are a single beast that inches slow,
With somewhere that we’re obligated to go.
A moment suspended, patient and absurd,
Connected by a thing that’s not a word.",Everyday Life
"I sit and stare 
I sit and watch
I sit and listen
I sit and coexist 
With everything around me
And not existing in that moment all the same
The simultaneous contrast spreading awareness through my bloodstream
Aware of just being
The colors that decorate the world 
Make it less grey ...
Camouflage of the sadness 
I would rather say...

The music and art 
Everything expressed 
With faint , strong, weak , thin , bold , blurry and fine strokes..
Splatters of the paint 
Illusioned of being some chaos are actually artistic mistakes ..
Making the art alive..
Everything said
With melodies , tunes , mere words , and a million voices ...
Sung from the heart ..
Contradictory sometimes ...
It a warm pat of companionship
In this sorrow excuse of life..

A smile takes over 
On it's own accord
I sit and smile 
Just thinking about it all
We are funny sometimes 
Creating worlds with just our minds
What a beautiful phenomenon 
We are lonely, Yes
But not alone",Philosophical & Reflective
"A familiar smell
Brewing from the orange sky.
A cup of tea.
Leaves start to dry.
Felt on me -
A breeze - so shy.",Nostalgia
"I choose to walk 
I choose to run 
I choose to fly 
And then 
It's my choice to burn !

I mold into something new 
I can turn things into havoc too 
Times like these are merely few 
But it's not on me 
Since I warned you !

No remorse?
No regrets ?
Oh come on ..
After all we are just puppets 
Dancing on the whimes of our 
Secrets 
Who behold the power 
To push us beyond the limits !

We are just materialistic fools 
In this very MATERIAL world 
And yet my attempt is criticized 
When I try not to be a 
MATERIAL GIRL!!

At the very end 
M not your doll 
Who likes to pretend 
Just to fit into this 
Toxic society 
Where 
U can breath 
(Just don't make a sound )
U can laugh 
( be aware people make assumptions that go around)
U have your freedom 
( unless you coming home before 8 counts! )
U can be what you want to 
( Are you sure that it's YOU and not the people you surround?) 

So yeah 
Fuck the society 
Be what you really feel like 
And don't give two shits 
About the undeserving creeps ..",Philosophical & Reflective
"The worst part of the pain is not the ache,
But all the hollow promises you make.
You say ""I'm here,"" but then you disappear,
And feed the lonely and pathetic fear.
You are the hand that holds the bread so near,
And pulls away, and makes it very clear
That I will always starve, will always be
The one who wants, the one who cannot see,
That you are not the cure, but the disease.",Misery
"Everyday 
I think i have found it
Everyday
I am convinced that it is out there somewhere
Everyday
I stroll into the lands unknown
Hoping to find a knowing soul
Everyday 
I smile at the thought of it
I can almost feel it's gentle caress when the summer breeze touches my face
But then ...
I go ahead and stir the still water
With my own bare hands
Watch it ripple and smear
My reflection and everything around 
In a semblance of piercing blurs

It's kind of fascinating if you ask me
I mean how fucked up a picture it is 
Painted by perplexity..
The stupefaction gets heightened 
With every passing reality...
The passing reality being the clone of me
I think that's how all of us feel in these
Blazing youthful 20's 

Everynight
I feel like it's totally okay
Everynight
I think the puzzlement is a momentary ache
Everynight 
I sleep in the hopes of finding it in the rising day ...
But the clarity...
Being the bitch she is..
Hides away...",Philosophical & Reflective
"The thoughts 
They found a way 
To get INSIDE of me 
Gulped me raw 
Consumed every inch of consciousness
Left ..

The insecurities
They tore me to shreds 
Buried me six inches into the ground 
Now
I don't even know myself anymore 
Forget the people I surround ..

Those nightmares 
Tortured me to such an extent 
That 
Waking in one 
And living one 
Is the only close to a realistic thing 
I am capable of doing ..

The society 
Fucked my principles 
And just put me into a
Cave 
A dark and a large Neverending cave 
A cave of misconceptions 
A cave of misunderstandings
A cave of unacknowledgement 
A cave of thrones 
A cave of boundaries 
And I suffocate 
In there
I die 
Every second an agonizing death 
Then I breath 
Another pitiful hopeless breath 
And die again 
Each cut 
Each wound
Making the pain familiar",Misery
"The world was painted in monochrome grey,
A silent film of passing, hurried days.
Then you arrived, a brushstroke, bold and true,
And suddenly my world was drenched in hue.
You are the color my heart learned to see,
The vibrant, living thing inside of me.",Romantic
"The swings still sigh in rhythm
to laughter that no one makes.
Rust remembers the hands that held,
the sneakers that scraped,
the oaths of friendship shouted
into the brave, collapsing dusk.
Grass has grown through the hopscotch lines,
but if I listen long enough,
I can hear the count —
one, two, three —
before the world turned serious.",Nostalgia
"After winter's longest night,
One crocus breaks the snow.
Its purple petals, brave and bright,
Say ""Life will always grow.""",Hope&Joy
"She takes the clay between her palms,
A lump of earth, unformed and plain,
The wheel spins round beneath her hand,
She presses, pulls with gentle force.
The first attempts may fail and fall,
May slump or tear or lose their shape,
But she doesn't judge them much at all—
Each failure is a small escape.
And when at last the vase takes form,
Symmetrical and strong and true,
She knows that both the calm and storm
Have made this beauty something new.
We too are clay upon the wheel,
Shaped by hands we cannot see,
Trust the Potter knows the way,
That pressure leads to what we'll be.",Hope&Joy
"My heart is now a city, bombed and shelled,
Where every hopeful monument has felled.
The streets are empty, filled with dust and grief,
Past every corner, a relentless thief
Called memory, it steals what little's left.
I am a kingdom of my joy bereft.
And in the broken square, a statue stands
Of you, still perfect, with your empty hands.",Misery
"A fragile frame of wood and string
Rises on the wind.
With faith, we let our spirits sing
And trust what we can't rescind.",Hope&Joy
"The shadow of the houseplant on the wall,
Begins to stretch and grow and stand so tall
As afternoon descends. It is a ghost
Of something living, of a silent host.
A different version of the thing itself,
Upon a painted, pale, and plaster shelf.
It moves with the slow turning of the Earth,
A silent measure of the daylight's worth.",Everyday Life
"The house stood empty, black with char,
The fire took everything they owned,
They stood together in the yard,
The youngest asked, ""Where will we be?""
The mother knelt down in the ash,
She said, ""We still have love and grace,""
The father called his brother near,
The neighbors came throughout the year.
Together building something new,
Working side by loving side,
The women brought the family meals,
The men all gave their Saturday.
The new house rose from ashes old,
With better beams and stronger floor,
With stories shared and tales retold,
And love embedded in each door.
This is hope's most powerful art—
Taking ruins and making home,
This is joy beyond the surface bright,
When community holds us tight.",Hope&Joy
"Two roads diverged in a yellow wood,

And sorry I could not travel both

And be one traveler, long I stood

And looked down one as far as I could

To where it bent in the undergrowth;

Then took the other, as just as fair,

And having perhaps the better claim,

Because it was grassy and wanted wear;

Though as for that the passing there

Had worn them really about the same,

And both that morning equally lay

In leaves, no step had trodden black.

Oh, I kept the first for another day!

Yet knowing how way leads on to way,

I doubted if I should ever come back.

I shall be telling this with a sigh

Somewhere ages and ages hence:

Two roads diverged in a wood, and I —

I took the one less traveled by,

And that has made all the difference.",Hope&Joy
"They speak of passion as a burning fire,
A wild and all-consuming, mad desire.
But what we have is like the sun's warm light,
Consistent, steady, gentle, and so bright.
It doesn't burn, it doesn't rage or fade,
It simply is, the promise we have made.",Romantic
"The rain begins, a tapping on the pane,
A soft and steady, rhythmic, grey refrain.
The world outside is washed in shades of blue,
Distorted, blurred, and rendered fresh and new.
There’s nothing else to do but watch it fall,
And answer to its quiet, calming call.",Everyday Life
"A blatant NO would have hurt me less..
I told you I like you 
And you suggested me names..
A thought flashed through my half alive mind..
Is he being cruel or just being kind? 
If this is what kindness is ...
It really hurts...
You tear me up from the inside and then apply aids..
I don't feel anything..
I guess I have become numb ..
From all the possibilities i drafted in my head and the pain that succumbs..
Just why do you have to be so kindly cruel?
Then again , It's not your fault : 
You were just oblivious..
No one can help me this time around..
I should smile more for the people I surround..
It doesn't matter , shit happens and life goes on..
But I just think of you even more often now..
Knowing you will never be mine..
Knowing you were just the sweet illusion 
I framed in my mind...
I have to lock them up and mark them as my blindspot
I don't wanna see them and get torn into half ...
Would you ever fade away from within me?
Would I ever see you again and feel happy?
Would you pretend to not know me and my heart? 
Would I will be able to walk away from you ,
Without falling apart?",Misery
"She left her country far behind,
With one small suitcase and a dream,
The language wrapped around her tongue
Like stones she couldn't swallow down.
The food tasted strange and bland,
The weather was too cold or hot,
But still she held her dignity,
And kept hope written on her face.
She found a job, she found a room,
She found a neighbor who was kind,
They shared their meals and shared their stories,
They laughed at all misunderstandings.
And slowly, slowly, roots went down,
Into this foreign soil and air,
Her children grew up strong and tall,
Speaking both her tongue and this.
Now she's the one who helps the others,
Who've just arrived with suitcase small,
She tells them: you will make it through,
For joy is found in starting over.",Hope&Joy
"She really doesn't want to let go!
Let go 
Of you 
Your smile 
Your laugh 
Your tears 
Your warmth 
Your coldness
Your memories 

Inspite of what she wants 
It all ..
All of it 
It comes down to nothing 
If all she can do is 
LET GO 
knowing that 
It will hurt !
It will tear her apart! 
It might be the end of everything!
SHE 
HAS 
TO 
LET 
GO 

Fuck this cruel world",Misery
"The gyrations of the bodies around me
Blend into a purplish hallow
Kinda similar to the color of the dress
Molding all around you 
It's my definition of perfection 

The way you tip your head back 
Body vibrating with the force of your 
Sparkingly blinding laughs..
Ohh i just wanna sit and master you...
Take you in and blend it within..
Memorise you , Cherish it from far away..

Don't need the shots tonight babe
I am already all hazy
The waves you paint all around
With those lush hips and crafted legs..
I am so convinced...
Heaven fucking exists...

Red , blue , white and yellow..
I feel all of them deep in my bones
The explosion of colors on a black canvas..
The ultimate masterpiece 
The Supreme piece of art..
You are the personification of the starry nights
Scientists crave and lovers cry for..
The band of spectrum 
Which beholds it all..",Romantic
"We carved our names into wood
like fools who thought oak never dies.
Now moss hides the letters,
but I can still feel the grooves
when the sun hits right —
a small proof
that we were here once,
and believed it mattered.",Nostalgia
"Sometimes you are the only thing I want 

Sometimes I just don't want you around !?!

Sometimes you are my peace 

Sometimes you seem like the most unsettling being !!

Sometimes you are just simply beautiful

Sometimes the scars , they cover all of you!

Sometimes you are the most sorted person I have ever known 

Sometimes I see the chaos within you that you never had shown !

Sometimes you are the perfect dream

But sometimes I just like the reality better!

Cause I know 

I know you are unreal,

I just want to live all of you,

JUST SOMETIMES",Romantic
"I may as well be mentally strange 
Because everytime i sit by the lake
I want to become one with the silent stream
Going along with the current of the wind
Glisten in the moonlight 
And to wear the decorations of the evening skies...

I may as well be criminally delusional 
Because everytime I stand at the hilltop
I want to merge with these winds
Roaming free , caressing broken beautiful nothings...
Know no limits...
Just peacefully exist...

I may as well be purely innocent
Because everytime i look out the window 
I want to become the companion of the little kid with wide eyes..
Experience the wonders or make them bloom
These folks say it's impossible but No..
They are blinded by the rules
Me and my wide-eyed buddy
Will ride dragons and lead kingdoms
Make spaceships and discover galaxies
Dance in the dirty puddles 
Sing aloud to pretty girls..

I may as well be a lonely girl
Because everytime life is being cruel
I want to be wrapped in strong protective arms
Instead ...i sit here by the lake..
Wondering the what ifs of impossibilities
Of innocent fantasies ...
Not willing to stay awake",Philosophical & Reflective
"In sand, in snow, in muddy ground,
We leave our marks behind.
But forward's where our hope is found—
New paths for all to find.",Hope&Joy
"not back, let’s not come back, let’s go by the speed of 
queer zest & stay up 
there & get ourselves a little 
moon cottage (so pretty), then start a moon garden 

with lots of moon veggies (so healthy), i mean 
i was already moonlighting 
as an online moonologist 
most weekends, so this is the immensely 

logical next step, are you 
packing your bags yet, don’t forget your 
sailor moon jean jacket, let’s wear 
our sailor moon jean jackets while twirling in that lighter,

queerer moon gravity, let’s love each other 
(so good) on the moon, let’s love 
the moon 
on the moon",Romantic
"i wonder if I’ll ever fall as hard and fast as I did when I was 14.

i’m in a new house, now.
a new room.
it’s gentle here.
safer than anywhere I’ve ever been.
it’s missing a few touches still, perhaps a poster or two.
perhaps it’s missing you.

you always seemed to make a space feel more like home to me.
with careful hands
you tinkered with my own vision of where I was,
who I was,
Who I am.
in my childhood bedroom you pressed me against the window, kissed me
whirled me around, treading on soft carpets
curled locks of hair around your fingers,
cradled me to sleep.
we broke a bed, bought a new one.

we played house like we were old and married.
teasing each other, loving each other.
You taught me how to be.
you took a simple pillow, or a blanket,
flicked on the switch of a warm lamp light
put your hand in the back pocket of my jeans
and made me feel grown up.

so now I sit in my new room,
in my new house,
with my new friends,
drinking pints in the pub, cooking in the kitchen,
playing house.
making a home.
you’re not here, but I see you in the plants on the windowsill.
the candles beside my bed.
the way I can fall asleep a little faster, a little easier.

Maybe I’ve just grown up.
or maybe it will always be you,
and the memory of a life I pretended to have with you
playing out in front of me.
I think all along it was you that was home to me.
you’re everywhere in my room still, in my happiness, in my adulthood.

you showed me what it meant to be safe.
you built me a house in my head that I’ve finally let myself into.
A home.
blue shutters and a door open
for the next time I fall, however hard, however fast.
I hope you’ll come and visit, sometime.",Nostalgia
"The clock struck twelve and people cheered,
The fireworks exploded bright,
The old year disappeared,
And vanished into memory's night.
But now it's morning, quiet, still,
The first dawn of a brand new year,
The sunlight crests the eastern hill,
And everything is crystal clear.
The snow lies fresh and undisturbed,
A perfect page of white,
No footprints yet, no tracks, unmarred,
By yesterday's old flight.
She stands at her kitchen window wide,
Coffee steaming in her cup,
She feels something shift inside,
A sense of opening up.
Last year was hard, there's no denial,
She lost her job, she lost her way,
But standing here, she finds her smile,
Today is a brand new day.
Not just in the calendar sense,
Not just because the date has changed,
But something in her feels immense,
Her whole perspective rearranged.
For every morning is a chance,
To start again, to try once more,
To take another step, to dance,
To walk through an unopened door.
The past is done, it cannot change,
The mistakes made, the words said wrong,
But the future is still strange,
Still unwritten, still a song.
That she can choose to sing today,
With different notes and different tune,
She doesn't have to stay the way,
She was beneath last year's moon.
She thinks about her children still,
Asleep upstairs in their warm beds,
She thinks about the empty bill,
And all the worried thoughts, the dreads.
But then she chooses hope instead,
Of fear and doubt and constant worry,
She chooses joy and moving ahead,
She won't live life inside a flurry.
Of anxiety about what might,
Go wrong or fail or fall apart,
She'll focus on this morning's light,
And listen to her hopeful heart.
She'll call about that job today,
She'll reach out to her friend estranged,
She'll find the courage, find the way,
To make her life feel less deranged.
Not all at once, not in a rush,
But step by step and day by day,
Not with a roar but with a hush,
She'll find her own authentic way.
The children wake and run downstairs,
Their laughter fills the morning air,
She pulls them close, forgets her cares,
And feels the joy of being there.
This moment, right now, this is real,
This love, these children, this new day,
This is the hope that she can feel,
This is the joy that's here to stay.
Not in some distant future time,
Not when everything is perfect, fine,
But here and now in this paradigm,
This precious moment, yours and mine.",Hope&Joy
"From blossoms comes
this brown paper bag of peaches
we bought from the boy
at the bend in the road where we turned toward 
signs painted Peaches.

From laden boughs, from hands,
from sweet fellowship in the bins,
comes nectar at the roadside, succulent
peaches we devour, dusty skin and all,
comes the familiar dust of summer, dust we eat.

O, to take what we love inside,
to carry within us an orchard, to eat
not only the skin, but the shade,
not only the sugar, but the days, to hold
the fruit in our hands, adore it, then bite into 
the round jubilance of peach.

There are days we live
as if death were nowhere
in the background; from joy
to joy to joy, from wing to wing,
from blossom to blossom to
impossible blossom, to sweet impossible blossom.",Hope&Joy
"Hello, my dear.
How are you?
I hope you’re well—
because I am not.

You’ve always been here,
speaking to me,
showing me signs
I refused to see.

Now I see.
Now I want to keep you close again.

I’m in tears—
it’s been so long
since we last spoke.

I think I grew up
and left you behind,
abandoned
the way everyone else did.

I’m sorry.
Will you forgive me?

I’ve done so many wrong things
to you
and to myself—
things I’d never
do to a child
if I were truly responsible.

So tonight—
if you’re willing—
let’s spend time together.

Do you remember
first grade,
when every afternoon
you’d run to the ballet studio
just to watch the girls
in their pink tights,
gentle and graceful,
warming up for class—
and you’d stand at the door,
dreaming of being one of them?

I remember.

Our mother said
we could never be ballerinas—
our feet weren’t right,
our toenails always ingrown.

So what could we do?
Dance in secret,
alone in the bedroom,
with Barbie
and the Twelve Dancing Princesses.

So tonight—
will you dance with me?

Let’s be ballerinas for one night.
Let’s be what we always dreamed to be.

Will you take my hand
for this dance?

With love,
Me.",Nostalgia
"My own dear love, he is strong and bold
 And he cares not what comes after.
His words ring sweet as a chime of gold,
 And his eyes are lit with laughter.
He is jubilant as a flag unfurled—
 Oh, a girl, she’d not forget him.
My own dear love, he is all my world,—
 And I wish I’d never met him.

My love, he’s mad, and my love, he’s fleet,
 And a wild young wood-thing bore him!
The ways are fair to his roaming feet,
 And the skies are sunlit for him.
As sharply sweet to my heart he seems
 As the fragrance of acacia.
My own dear love, he is all my dreams,—
 And I wish he were in Asia.

My love runs by like a day in June,
 And he makes no friends of sorrows.
He’ll tread his galloping rigadoon
 In the pathway of the morrows.
He’ll live his days where the sunbeams start,
 Nor could storm or wind uproot him.
My own dear love, he is all my heart,—
 And I wish somebody’d shoot him.",Romantic
"It pains me 
The thought of you
The fact that I allow it to take so much from me 
Stabs me on the unhealed wound
It bleeds endlessly 
It does hurt 
But not there 
It hurts me inside 
It suffocates my existence 
It drags me to a serene and cold darkness
My soul is so tired 
So is my body 
But the sinner wouldn't obey 
She wouldn't leave me alone..
My heart lies at her feet
Screaming for mercy
Fool is what my heart is
It's worthless, the pleading
She is cold and harsh
She is a mindfuck in herself
She thrives inside of my head
Lives off my body and soul
Who ?? You ask?
My mind is who she is 
And my ruin , nonetheless",Misery
"The world has lost its color, it would seem,
A washed-out, faded, monochromatic dream.
The sky is grey, the grass is grey, the sun
A paler shade of grey when day is done.
And happiness, I hear it like a sound
From someone's house, across the muffled ground.
A distant party that I'll never find,
A world of color I have left behind.",Misery
"The body is a boat, and I'm the sea,
It thinks it has control and mastery.
It sets its sails, it thinks it knows the course,
And battles with its own imagined force.
But I'm the tide, the current, and the swell,
The silent, deep, and unpredictable hell
And heaven, both. I let the vessel ride,
And think that it has somewhere left to hide.
But in the end, the wood will break and fray,
And I'm the water that will wash away
The wreckage of this brief and fleeting trip,
The ocean that has swallowed the whole ship.",Philosophical & Reflective
"I am so tired of this beating heart,
That plays its slow and agonizing part.
It hopes and breaks, it loves and then it bleeds,
And plants the most ridiculously hopeful seeds.
I wish that it was made of stone or steel,
And did not have this awful need to feel.
This fragile, stupid, and relentless drum,
That beats until the final silence comes.",Misery
"EVERYTHING'S NOTHING
You know that feeling ? 
Where the everythings and nothings 
Just seem to superimpose 
They fuck with your mind 
Your heart 
Your self esteem 
And just about every fucking thing??
And at the same time 
A voice slips midst of your chaos 
Says you are not alone 
Says you never were 
Says you still have them 
You still have your home 
There is always hope 
All you have to do is find a way 
To cope
Years of yearning, longing 
Betrayal and emptiness 
Fill up my lungs 
And to be honest 
I feel so small 
In this moment 
I wanna disappear 
Will all of this ever end? 
Will these everythings 
And nothings ever be kind?
And not fuck with my peace of mind?
Will they stop 
Suffocating me?
Will the ever accept me 
As me? 
Will they ever love my everythings and nothings equally?",Philosophical & Reflective
"A single sock, its partner lost in time,
A small and un-dramatic, household crime.
It waits within the drawer, a hopeful plea,
For a reunion that will never be.
It serves no purpose, yet I let it stay,
To fight its lonely battle for another day.",Everyday Life
"The automatic ritual we keep,
Of brushing teeth before we go to sleep.
The back-and-forth, a motion in a trance,
A final, minty, ordinary dance.
We stare into the mirror, at our eyes,
And see a person that we recognize,
But do not know. A stranger, tired and pale,
Who's just about to either win or fail
At sleeping.",Everyday Life
"Just yet another day 
Of you doing just normal things 
And my very faithful heart 
Goes betraying me yet again 
Just fluttering at ease 
At the smile on your face 
At that little crease in your cheek 

Just yet another month 
Passes in a dreamy haze 
With me glowing every time 
You walk by 
Unacknowledged 
Of me and other little things 

Just like that 
Here comes the end of the year 
I still live a beautiful dream 
Of you being mine 
The urge takes over me 
To pour all of this out 
But 
Nevermind ..
And you walk towards me 
Looking like a starry night 
And just then 
I know m far gone 
Far gone to look behind",Romantic
